run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260518-19:23:44-10624,config,,,**.numberOfPacketsToSend,0,,
General-0-20260518-19:23:44-10624,config,,,sim-time-limit,3d,,
General-0-20260518-19:23:44-10624,config,,,warmup-period,2h,,
General-0-20260518-19:23:44-10624,config,,,simtime-resolution,-11,,
General-0-20260518-19:23:44-10624,config,,,repeat,3,,
General-0-20260518-19:23:44-10624,config,,,**.alohaChannelModel,false,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].**.initFromDisplayString,false,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].**.evaluateADRinNode,false,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].**initialLoRaCR,4,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].numApps,1,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,,
General-0-20260518-19:23:44-10624,config,,,**.LoRaGWNic.radio.iAmGateway,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].**.initFromDisplayString,false,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",,
General-0-20260518-19:23:44-10624,config,,,**.sigma,3.57,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMinX,0m,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMinY,0m,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMinZ,0m,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMaxZ,0m,,
General-0-20260518-19:23:44-10624,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,,
General-0-20260518-19:23:44-10624,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,,
General-0-20260518-19:23:44-10624,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",,
General-0-20260518-19:23:44-10624,config,,,**.radio.radioMediumModule,"""LoRaMedium""",,
General-0-20260518-19:23:44-10624,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",,
General-0-20260518-19:23:44-10624,config,,,**.minInterferenceTime,0s,,
General-0-20260518-19:23:44-10624,config,,,**.displayAddresses,false,,
General-0-20260518-19:23:44-10624,config,,,**.numberOfNodes,6,,
General-0-20260518-19:23:44-10624,config,,,**.numberOfGateways,1,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMaxX,2376.0m,,
General-0-20260518-19:23:44-10624,config,,,**.constraintAreaMaxY,1090.0m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-0-20260518-19:23:44-10624,config,,,output-scalar-file,../results/n100-gw1-s0.ini.sca,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].timeToFirstPacket,"uniform(0s, 10s)",,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].timeToNextPacket,exponential(300s),,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].sendInterval,exponential(300s),,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].timeToFirstPacket,"uniform(0s, 2s)",,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,exponential(15s),,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[{2..5}].app[0].sendInterval,exponential(15s),,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**initialLoRaSF,8,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**initialLoRaSF,9,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**initialLoRaSF,10,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-0-20260518-19:23:44-10624,config,,,**.vector-recording,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.statistic-recording,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].packetForwarder.result-recording-modes,all,,
General-0-20260518-19:23:44-10624,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-1-20260518-19:31:59-10638,runattr,,,configname,General,,
General-1-20260518-19:31:59-10638,runattr,,,datetime,20260518-19:31:59,,
General-1-20260518-19:31:59-10638,runattr,,,datetimef,20260518-193159,,
General-1-20260518-19:31:59-10638,runattr,,,experiment,General,,
General-1-20260518-19:31:59-10638,runattr,,,inifile,n100-gw1.ini,,
General-1-20260518-19:31:59-10638,runattr,,,iterationvars,"$0=""avg""",,
General-1-20260518-19:31:59-10638,runattr,,,iterationvarsd,avg,,
General-1-20260518-19:31:59-10638,runattr,,,iterationvarsf,avg-,,
General-1-20260518-19:31:59-10638,runattr,,,measurement,"$0=""avg""",,
General-1-20260518-19:31:59-10638,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-1-20260518-19:31:59-10638,runattr,,,processid,10638,,
General-1-20260518-19:31:59-10638,runattr,,,repetition,1,,
General-1-20260518-19:31:59-10638,runattr,,,replication,#1,,
General-1-20260518-19:31:59-10638,runattr,,,resultdir,results,,
General-1-20260518-19:31:59-10638,runattr,,,runnumber,1,,
General-1-20260518-19:31:59-10638,runattr,,,seedset,1,,
General-1-20260518-19:31:59-10638,config,,,image-path,../../../inet4.4/images,,
General-1-20260518-19:31:59-10638,config,,,network,flora.simulations.LoRaNetworkTest,,
General-1-20260518-19:31:59-10638,config,,,output-vector-file,../results/n100-gw1-s1.ini.vec,,
General-1-20260518-19:31:59-10638,config,,,**.maxTransmissionDuration,4s,,
General-1-20260518-19:31:59-10638,config,,,**.energyDetection,-110dBm,,
General-1-20260518-19:31:59-10638,config,,,rng-class,cMersenneTwister,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].numUdpApps,1,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.numApps,1,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.**.evaluateADRinServer,false,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].typename,NetworkServerApp,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].destPort,2000,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].localPort,1000,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].adrMethod,"""avg""",,
General-1-20260518-19:31:59-10638,config,,,**.numberOfPacketsToSend,0,,
General-1-20260518-19:31:59-10638,config,,,sim-time-limit,3d,,
General-1-20260518-19:31:59-10638,config,,,warmup-period,2h,,
General-1-20260518-19:31:59-10638,config,,,simtime-resolution,-11,,
General-1-20260518-19:31:59-10638,config,,,repeat,3,,
General-1-20260518-19:31:59-10638,config,,,**.alohaChannelModel,false,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.initFromDisplayString,false,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.evaluateADRinNode,false,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**initialLoRaCR,4,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].numApps,1,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,,
General-1-20260518-19:31:59-10638,config,,,**.LoRaGWNic.radio.iAmGateway,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].**.initFromDisplayString,false,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",,
General-1-20260518-19:31:59-10638,config,,,**.sigma,3.57,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinX,0m,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinY,0m,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMinZ,0m,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMaxZ,0m,,
General-1-20260518-19:31:59-10638,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,,
General-1-20260518-19:31:59-10638,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,,
General-1-20260518-19:31:59-10638,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",,
General-1-20260518-19:31:59-10638,config,,,**.radio.radioMediumModule,"""LoRaMedium""",,
General-1-20260518-19:31:59-10638,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",,
General-1-20260518-19:31:59-10638,config,,,**.minInterferenceTime,0s,,
General-1-20260518-19:31:59-10638,config,,,**.displayAddresses,false,,
General-1-20260518-19:31:59-10638,config,,,**.numberOfNodes,6,,
General-1-20260518-19:31:59-10638,config,,,**.numberOfGateways,1,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMaxX,2376.0m,,
General-1-20260518-19:31:59-10638,config,,,**.constraintAreaMaxY,1090.0m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-1-20260518-19:31:59-10638,config,,,output-scalar-file,../results/n100-gw1-s1.ini.sca,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].timeToFirstPacket,"uniform(0s, 10s)",,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].timeToNextPacket,exponential(300s),,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].sendInterval,exponential(300s),,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[{2..5}].app[0].timeToFirstPacket,"uniform(0s, 2s)",,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,exponential(15s),,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[{2..5}].app[0].sendInterval,exponential(15s),,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[3].**initialLoRaSF,8,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[4].**initialLoRaSF,9,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[5].**initialLoRaSF,10,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-1-20260518-19:31:59-10638,config,,,**.vector-recording,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].packetForwarder.statistic-recording,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].packetForwarder.result-recording-modes,all,,
General-1-20260518-19:31:59-10638,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-1-20260518-19:31:59-10638,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-1-20260518-19:31:59-10638,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-2-20260518-19:39:58-10647,runattr,,,configname,General,,
General-2-20260518-19:39:58-10647,runattr,,,datetime,20260518-19:39:58,,
General-2-20260518-19:39:58-10647,runattr,,,datetimef,20260518-193958,,
General-2-20260518-19:39:58-10647,runattr,,,experiment,General,,
General-2-20260518-19:39:58-10647,runattr,,,inifile,n100-gw1.ini,,
General-2-20260518-19:39:58-10647,runattr,,,iterationvars,"$0=""avg""",,
General-2-20260518-19:39:58-10647,runattr,,,iterationvarsd,avg,,
General-2-20260518-19:39:58-10647,runattr,,,iterationvarsf,avg-,,
General-2-20260518-19:39:58-10647,runattr,,,measurement,"$0=""avg""",,
General-2-20260518-19:39:58-10647,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-2-20260518-19:39:58-10647,runattr,,,processid,10647,,
General-2-20260518-19:39:58-10647,runattr,,,repetition,2,,
General-2-20260518-19:39:58-10647,runattr,,,replication,#2,,
General-2-20260518-19:39:58-10647,runattr,,,resultdir,results,,
General-2-20260518-19:39:58-10647,runattr,,,runnumber,2,,
General-2-20260518-19:39:58-10647,runattr,,,seedset,2,,
General-2-20260518-19:39:58-10647,config,,,image-path,../../../inet4.4/images,,
General-2-20260518-19:39:58-10647,config,,,network,flora.simulations.LoRaNetworkTest,,
General-2-20260518-19:39:58-10647,config,,,output-vector-file,../results/n100-gw1-s2.ini.vec,,
General-2-20260518-19:39:58-10647,config,,,**.maxTransmissionDuration,4s,,
General-2-20260518-19:39:58-10647,config,,,**.energyDetection,-110dBm,,
General-2-20260518-19:39:58-10647,config,,,rng-class,cMersenneTwister,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[*].numUdpApps,1,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.numApps,1,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.**.evaluateADRinServer,false,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.app[0].typename,NetworkServerApp,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.app[0].destPort,2000,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.app[0].localPort,1000,,
General-2-20260518-19:39:58-10647,config,,,**.networkServer.app[0].adrMethod,"""avg""",,
General-2-20260518-19:39:58-10647,config,,,**.numberOfPacketsToSend,0,,
General-2-20260518-19:39:58-10647,config,,,sim-time-limit,3d,,
General-2-20260518-19:39:58-10647,config,,,warmup-period,2h,,
General-2-20260518-19:39:58-10647,config,,,simtime-resolution,-11,,
General-2-20260518-19:39:58-10647,config,,,repeat,3,,
General-2-20260518-19:39:58-10647,config,,,**.alohaChannelModel,false,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].**.initFromDisplayString,false,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].**.evaluateADRinNode,false,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].**initialLoRaCR,4,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].numApps,1,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,,
General-2-20260518-19:39:58-10647,config,,,**.LoRaGWNic.radio.iAmGateway,true,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[*].**.initFromDisplayString,false,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",,
General-2-20260518-19:39:58-10647,config,,,**.sigma,3.57,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMinX,0m,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMinY,0m,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMinZ,0m,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMaxZ,0m,,
General-2-20260518-19:39:58-10647,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,,
General-2-20260518-19:39:58-10647,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,,
General-2-20260518-19:39:58-10647,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",,
General-2-20260518-19:39:58-10647,config,,,**.radio.radioMediumModule,"""LoRaMedium""",,
General-2-20260518-19:39:58-10647,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",,
General-2-20260518-19:39:58-10647,config,,,**.minInterferenceTime,0s,,
General-2-20260518-19:39:58-10647,config,,,**.displayAddresses,false,,
General-2-20260518-19:39:58-10647,config,,,**.numberOfNodes,6,,
General-2-20260518-19:39:58-10647,config,,,**.numberOfGateways,1,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMaxX,2376.0m,,
General-2-20260518-19:39:58-10647,config,,,**.constraintAreaMaxY,1090.0m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-2-20260518-19:39:58-10647,config,,,output-scalar-file,../results/n100-gw1-s2.ini.sca,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].app[0].timeToFirstPacket,"uniform(0s, 10s)",,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].app[0].timeToNextPacket,exponential(300s),,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[*].app[0].sendInterval,exponential(300s),,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[{2..5}].app[0].timeToFirstPacket,"uniform(0s, 2s)",,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,exponential(15s),,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[{2..5}].app[0].sendInterval,exponential(15s),,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[3].**initialLoRaSF,8,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-2-20260518-19:39:58-10647,config,,,**.loRaNodes[4].**initialLoRaSF,9,,
